siteName,doctorName,specialty,heroHeadline,subheadline,phone,email,addressText,ctaLabel,ctaLink
"bright-smiles-demo","Dr. Emily Martinez","Dentist","Transform Your Smile Today","Experience gentle, personalized dental care in a calming environment.","(555) 123-4567","info@brightsmilesdemo.com","123 Dental Way, Springfield, IL 62701","Book Appointment","/contact.html"
"sunny-dental","Dr. Alex Johnson","Dentist","Bright Smiles for a Brighter Future","Comprehensive dental services with a focus on patient comfort.","(555) 234-5678","contact@sunnydental.com","456 Smile St, Sunnyville, CA 90210","Schedule Now","/contact.html"
"peak-dentistry","Dr. Sarah Lee","Dentist","Peak Dental Care for Peak Health","Advanced dentistry in a modern, welcoming clinic.","(555) 345-6789","hello@peakdentistry.com","789 Peak Ave, Mountainview, CO 80301","Get Started","/contact.html"
"gentle-teeth","Dr. Michael Brown","Dentist","Gentle Care for Healthy Teeth","Family-friendly dentistry with emphasis on prevention.","(555) 456-7890","info@gentleteeth.com","101 Gentle Ln, Pleasantville, NY 10570","Contact Us","/contact.html"
"urban-smiles","Dr. Jessica Wang","Dentist","Urban Smiles, Urban Confidence","Cosmetic and restorative dentistry in the heart of the city.","(555) 567-8901","support@urbansmiles.com","202 Urban Blvd, Metropolis, TX 75201","Learn More","/contact.html"
"rural-roots-dental","Dr. David Garcia","Dentist","Rooted in Care, Community Dentistry","Serving rural communities with quality dental health services.","(555) 678-9012","david@ruralrootsdental.com","303 Rural Rd, Countryside, KS 67501","Visit Us","/contact.html"
"tech-dent","Dr. Lisa Chen","Dentist","Tech-Enabled Dental Solutions","Innovative dentistry using the latest technology for better outcomes.","(555) 789-0123","lisa@techdent.com","404 Tech Dr, Silicon Valley, CA 94043","Book Online","/contact.html"
"family-dental-care","Dr. Robert Taylor","Dentist","Family Dental Care for All Ages","Comprehensive care for the whole family in a friendly setting.","(555) 890-1234","robert@familydentalcare.com","505 Family Cir, Hometown, OH 44101","Call Today","/contact.html"
"eco-dental","Dr. Amanda White","Dentist","Eco-Friendly Dental Practice","Sustainable dentistry with a commitment to environmental health.","(555) 901-2345","amanda@ecodental.com","606 Eco Way, Green City, OR 97201","Go Green","/contact.html"
"luxury-smiles","Dr. Christopher Black","Dentist","Luxury Dental Experiences","Premium dental care with luxurious amenities and top-tier service.","(555) 012-3456","chris@luxurysmiles.com","707 Luxury Ln, Beverly Hills, CA 90210","Indulge Now","/contact.html"
